Currency,Completed,Date
CTXCBUSD,1,2023-01-07
FETBUSD,1,2023-01-07
MULTIBUSD,1,2023-01-08
OCEANBUSD,1,2023-01-08
OPBUSD,1,2023-01-08
FISBUSD,1,2023-01-09
FTMBUSD,1,2023-01-12
FXSBUSD,1,2023-01-12
RNDRBUSD,1,2023-01-14
MASKBUSD,1,2023-01-20
INJBUSD,1,2023-01-21
DYDXBUSD,1,2023-01-25
MDTBUSD,1,2023-01-26
CFXBUSD,1,2023-01-26
HIGHBUSD,1,2023-01-30
GRTBUSD,1,2023-02-02
ASTRBUSD,1,2023-02-07
TBUSD,1,2023-02-07
WOOBUSD,1,2023-02-07
LTCBUSD,1,2023-02-07
LDOBUSD,1,2023-02-07
IMXBUSD,1,2023-02-08
VOXELBUSD,1,2023-02-08
ANTBUSD,1,2023-02-09
MATICBUSD,1,2023-02-09
LITBUSD,1,2023-02-09
ELFBUSD,1,2023-02-09
MOBBUSD,1,2023-02-09
CHESSBUSD,1,2023-02-10
AUTOBUSD,1,2023-02-10
