coinPair,fastEMA,slowEMA,timeFrame,returnPerc,BuyHoldReturnPerc,BacktestStartDate
AAVEBUSD,95,195,1d,-0.1,78.16,2020-10-15 00:00:00
AAVEBUSD,20,90,1h,1334.31,61.13,2020-10-15 03:00:00
AAVEBUSD,10,95,4h,604.54,61.13,2020-10-15 00:00:00
ACHBUSD,95,195,1d,-0.1,-83.43,2022-01-10 00:00:00
ACHBUSD,15,55,1h,14.99,-82.74,2022-01-10 10:00:00
ACHBUSD,5,10,4h,59.25,-81.38,2022-01-10 08:00:00
ALPACABUSD,95,195,1d,0.87,-78.47,2021-08-11 00:00:00
ALPACABUSD,95,190,1h,-34.37,-79.56,2021-08-11 08:00:00
ALPACABUSD,55,85,4h,5.08,-78.09,2021-08-11 08:00:00
ALPHABUSD,95,195,1d,-0.1,122.7,2020-10-10 00:00:00
ALPHABUSD,85,90,1h,6767.64,77.38,2020-10-10 05:00:00
ALPHABUSD,20,105,4h,1259.93,111.05,2020-10-10 04:00:00
ANTBUSD,5,15,1d,66.02,-68.1,2020-08-13 00:00:00
ANTBUSD,5,140,1h,273.25,-73.8,2020-08-13 02:00:00
ANTBUSD,30,40,4h,301.37,-73.76,2020-08-13 00:00:00
APEBUSD,95,195,1d,-0.1,-43.08,2022-03-17 00:00:00
APEBUSD,35,155,1h,103.26,-45.72,2022-03-17 14:00:00
APEBUSD,25,70,4h,40.83,-34.4,2022-03-17 12:00:00
ARPABUSD,30,40,1d,322.74,25.59,2019-11-06 00:00:00
ARPABUSD,25,50,1h,696.22,31.15,2019-11-06 14:00:00
ARPABUSD,35,195,4h,1308.49,38.97,2019-11-06 12:00:00
ASTRBUSD,95,195,1d,-0.1,-69.58,2022-02-28 00:00:00
ASTRBUSD,25,65,1h,74.06,-72.42,2022-02-28 11:00:00
ASTRBUSD,15,25,4h,18.19,-72.42,2022-02-28 08:00:00
ATMBUSD,95,195,1d,14.25,-65.4,2020-12-30 00:00:00
ATMBUSD,95,170,1h,410.42,-75.91,2020-12-30 06:00:00
ATMBUSD,25,50,4h,352.35,-74.78,2020-12-30 04:00:00
ATOMBUSD,35,195,1d,411.99,199.1,2019-04-29 00:00:00
ATOMBUSD,45,65,1h,2420.59,169.82,2019-04-29 04:00:00
ATOMBUSD,35,125,4h,985.73,185.66,2019-04-29 04:00:00
AUTOBUSD,95,195,1d,-0.1,-94.12,2021-04-02 00:00:00
AUTOBUSD,95,170,1h,43.74,-94.64,2021-04-02 09:00:00
AUTOBUSD,65,100,4h,18.08,-94.38,2021-04-02 08:00:00
AVAXBUSD,30,60,1d,196.09,225.73,2020-09-22 00:00:00
AVAXBUSD,25,190,1h,3203.39,251.74,2020-09-22 06:00:00
AVAXBUSD,20,155,4h,3270.7,253.73,2020-09-22 04:00:00
AXSBUSD,95,195,1d,1983.56,8417.5,2020-11-04 00:00:00
AXSBUSD,85,105,1h,7561.39,7216.06,2020-11-04 13:00:00
AXSBUSD,55,90,4h,29451.6,7973.41,2020-11-04 12:00:00
BALBUSD,95,195,1d,-0.1,-55.14,2020-08-06 00:00:00
BALBUSD,10,190,1h,311.5,-55.51,2020-08-06 14:00:00
BALBUSD,35,100,4h,229.66,-54.43,2020-08-06 12:00:00
BANDBUSD,15,20,1d,1781.27,170.41,2019-09-18 00:00:00
BANDBUSD,25,50,1h,2790.73,154.01,2019-09-18 12:00:00
BANDBUSD,35,185,4h,3040.02,167.22,2019-09-18 12:00:00
BCHBUSD,30,35,1d,207.27,-44.64,2019-11-28 00:00:00
BCHBUSD,40,100,1h,526.65,-45.0,2019-11-28 10:00:00
BCHBUSD,15,160,4h,304.97,-45.23,2019-11-28 08:00:00
BIFIBUSD,5,15,1d,39.92,-86.91,2021-03-16 00:00:00
BIFIBUSD,25,30,1h,-20.76,-87.86,2021-03-16 09:00:00
BIFIBUSD,35,170,4h,-9.58,-86.26,2021-03-16 08:00:00
BNBBUSD,50,60,1d,5803.65,1761.26,2018-06-25 00:00:00
BNBBUSD,20,110,1h,13380.29,1827.53,2018-06-24 23:00:00
BNBBUSD,90,145,4h,15346.06,1884.56,2018-06-25 00:00:00
BTCBUSD,10,115,1d,755.81,260.42,2018-06-28 00:00:00
BTCBUSD,10,55,1h,613.41,239.8,2018-06-27 23:00:00
BTCBUSD,50,90,4h,1305.75,244.02,2018-06-28 00:00:00
COMPBUSD,85,95,1d,82.92,-77.11,2020-06-25 00:00:00
COMPBUSD,35,50,1h,443.18,-77.57,2020-06-25 06:00:00
COMPBUSD,75,115,4h,306.07,-76.74,2020-06-25 04:00:00
CRVBUSD,70,80,1d,49.16,-85.12,2020-08-15 00:00:00
CRVBUSD,5,65,1h,1057.62,-92.55,2020-08-15 04:00:00
CRVBUSD,30,115,4h,455.69,-90.01,2020-08-15 04:00:00
CTSIBUSD,80,130,1d,2068.54,151.75,2020-04-23 00:00:00
CTSIBUSD,95,185,1h,229.48,139.16,2020-04-23 02:00:00
CTSIBUSD,50,85,4h,2798.36,158.58,2020-04-23 00:00:00
CTXCBUSD,90,155,1d,231.25,46.8,2019-11-22 00:00:00
CTXCBUSD,45,50,1h,66.69,39.07,2019-11-22 14:00:00
CTXCBUSD,80,185,4h,618.24,53.89,2019-11-22 12:00:00
CVPBUSD,95,195,1d,-7.46,-83.74,2020-11-16 00:00:00
CVPBUSD,10,25,1h,-84.46,-82.35,2020-11-16 06:00:00
CVPBUSD,45,65,4h,-51.72,-82.81,2020-11-16 04:00:00
CVXBUSD,95,195,1d,-0.1,-88.14,2021-12-23 00:00:00
CVXBUSD,5,60,1h,109.02,-87.09,2021-12-23 14:00:00
CVXBUSD,5,15,4h,105.43,-87.26,2021-12-23 12:00:00
DASHBUSD,25,30,1d,119.97,-52.04,2019-03-28 00:00:00
DASHBUSD,50,80,1h,870.96,-50.18,2019-03-28 04:00:00
DASHBUSD,5,145,4h,564.83,-50.62,2019-03-28 04:00:00
DATABUSD,80,190,1d,85.04,-15.52,2020-04-07 00:00:00
DATABUSD,95,175,1h,245.56,-20.06,2020-04-07 13:00:00
DATABUSD,35,45,4h,98.05,-17.44,2020-04-07 12:00:00
DEGOBUSD,95,195,1d,-8.72,-82.48,2021-03-10 00:00:00
DEGOBUSD,55,180,1h,-13.53,-83.01,2021-03-10 11:00:00
DEGOBUSD,55,90,4h,18.59,-83.01,2021-03-10 08:00:00
DENTBUSD,10,20,1d,3812.8,74.94,2019-08-27 00:00:00
