,Coinpair,Close,Volume,50DSMA,200DSMA,MarketPhase
0,ANTBUSD,2.182,1670198399999.0,1.82654,1.7730000000000001,bullish
1,BALBUSD,6.145,1670198399999.0,5.999160000000001,5.935145,bullish
2,BANDBUSD,2.093,1670198399999.0,1.70864,1.5061099999999998,bullish
3,DFBUSD,0.0471,1670198399999.0,0.042892,0.038984,bullish
4,DOGEBUSD,0.10373,1670198399999.0,0.08940440000000001,0.0729986,bullish
5,DYDXBUSD,1.836,1670198399999.0,1.77278,1.72327,bullish
6,LITBUSD,0.882,1670198399999.0,0.79334,0.7895,bullish
7,LTCBUSD,76.72,1670198399999.0,62.592000000000006,58.2542,bullish
8,MASKBUSD,3.761,1670198399999.0,2.7058999999999997,1.7866650000000002,bullish
9,MATICBUSD,0.918,1670198399999.0,0.9145220000000001,0.77685,bullish
10,SFPBUSD,0.4688,1670198399999.0,0.44583,0.3909285,bullish
11,TWTBUSD,2.4471,1670198399999.0,1.589136,1.0530315000000001,bullish
12,UFTBUSD,0.3075,1670198399999.0,0.294512,0.248878,bullish
13,ALPACABUSD,0.2706,1670198399999.0,0.26361199999999996,0.2665715,accumulation
14,AUDBUSD,0.6789,1670198399999.0,0.654748,0.6771845000000001,accumulation
15,DEGOBUSD,2.171,1670198399999.0,1.6756,1.7278399999999998,accumulation
16,EURBUSD,1.0525,1670198399999.0,1.013122,1.017424,accumulation
17,GBPBUSD,1.229,1670198399999.0,1.17008,1.18395,accumulation
18,IQBUSD,0.00636,1670198399999.0,0.0046518,0.005106349999999999,accumulation
19,LINKBUSD,7.374,1670198399999.0,7.0783,7.163635,accumulation
20,MOBBUSD,1.163,1670198399999.0,0.8320400000000001,1.11719,accumulation
21,PAXGBUSD,1793.0,1670198399999.0,1701.96,1741.295,accumulation
22,PEOPLEBUSD,0.0266,1670198399999.0,0.022129000000000003,0.02366685,accumulation
23,TKOBUSD,0.29,1670198399999.0,0.23526,0.27911,accumulation
