Currency,performance_rank,position,quantity,buyPrice,currentPrice,PnLperc
FETBUSD,1.0,0,0.0,0.0,0.0,0.0
OCEANBUSD,2.0,0,0.0,0.0,0.0,0.0
RNDRBUSD,3.0,0,0.0,0.0,0.0,0.0
HIGHBUSD,4.0,0,0.0,0.0,0.0,0.0
OPBUSD,5.0,0,0.0,0.0,0.0,0.0
MDTBUSD,6.0,0,0.0,0.0,0.0,0.0
FISBUSD,7.0,1,317.0,0.46101514,0.715,55.09
CTXCBUSD,8.0,0,0.0,0.0,0.0,0.0
INJBUSD,9.0,0,0.0,0.0,0.0,0.0
FXSBUSD,10.0,1,14.6,8.59,12.522,45.77
MULTIBUSD,11.0,0,0.0,0.0,0.0,0.0
ASTRBUSD,12.0,0,0.0,0.0,0.0,0.0
GRTBUSD,13.0,0,0.0,0.0,0.0,0.0
MASKBUSD,14.0,0,0.0,0.0,0.0,0.0
FTMBUSD,15.0,1,549.0,0.2928,0.4486,53.21
DYDXBUSD,16.0,0,0.0,0.0,0.0,0.0
CFXBUSD,17.0,0,0.0,0.0,0.0,0.0
IMXBUSD,18.0,0,0.0,0.0,0.0,0.0
LITBUSD,19.0,0,0.0,0.0,0.0,0.0
VOXELBUSD,20.0,0,0.0,0.0,0.0,0.0
TBUSD,21.0,0,0.0,0.0,0.0,0.0
ANTBUSD,22.0,0,0.0,0.0,0.0,0.0
LDOBUSD,23.0,0,0.0,0.0,0.0,0.0
MATICBUSD,24.0,0,0.0,0.0,0.0,0.0
LTCBUSD,25.0,0,0.0,0.0,0.0,0.0
WOOBUSD,26.0,0,0.0,0.0,0.0,0.0
ELFBUSD,28.0,1,1063.9,0.1694,0.2156,27.27
MOBBUSD,30.0,1,129.98,1.67708247,1.312,-21.77
TWTBUSD,1000.0,1,124.0,1.772,1.3932,-21.38
ATOMBUSD,1000.0,1,9.82,12.336,13.512,9.53
BNBBUSD,1000.0,1,0.488,305.3,305.8,0.16
CAKEBUSD,1000.0,1,44.48,4.428,4.18,-5.6
CKBBUSD,1000.0,1,59029.0,0.00371,0.00348,-6.2
FLUXBUSD,1000.0,1,176.52,0.99699977,0.768,-22.97
NMRBUSD,1000.0,1,7.99,23.27690864,19.2,-17.51
FORBUSD,1000.0,1,7094.1,0.01861,0.01985,6.66
COTIBUSD,1000.0,1,1662.0,0.1119,0.0863,-22.88
DATABUSD,1000.0,1,4401.3,0.04226,0.03689,-12.71
DOGEBUSD,1000.0,1,6054.0,0.08836,0.08132,-7.97
IQBUSD,1000.0,1,22332.0,0.0061,0.00652,6.89
ENSBUSD,1000.0,1,11.02,15.96,14.02,-12.16
NULSBUSD,1000.0,1,490.0,0.2349,0.2564,9.15
COMPBUSD,1000.0,1,3.521,52.54,49.11,-6.53
AUTOBUSD,0.0,0,0.0,0.0,0.0,0.0
CHESSBUSD,28.0,0,0.0,0.0,0.0,0.0
