Currency,performance_rank,position,quantity,buyPrice,currentPrice,PnLperc
FETBUSD,1.0,0,0.0,0.0,0.0,0.0
OCEANBUSD,2.0,0,0.0,0.0,0.0,0.0
RNDRBUSD,3.0,0,0.0,0.0,0.0,0.0
HIGHBUSD,4.0,0,0.0,0.0,0.0,0.0
FXSBUSD,5.0,0,0.0,0.0,0.0,0.0
FISBUSD,6.0,1,408.0,0.45793358,0.5967,30.3
OPBUSD,7.0,0,0.0,0.0,0.0,0.0
ASTRBUSD,8.0,0,0.0,0.0,0.0,0.0
INJBUSD,9.0,0,0.0,0.0,0.0,0.0
MULTIBUSD,10.0,0,0.0,0.0,0.0,0.0
CTXCBUSD,11.0,0,0.0,0.0,0.0,0.0
MDTBUSD,12.0,0,0.0,0.0,0.0,0.0
GRTBUSD,13.0,0,0.0,0.0,0.0,0.0
FTMBUSD,14.0,0,0.0,0.0,0.0,0.0
LDOBUSD,15.0,0,0.0,0.0,0.0,0.0
MASKBUSD,16.0,0,0.0,0.0,0.0,0.0
DYDXBUSD,17.0,0,0.0,0.0,0.0,0.0
LITBUSD,18.0,0,0.0,0.0,0.0,0.0
ELFBUSD,19.0,0,0.0,0.0,0.0,0.0
LTCBUSD,20.0,0,0.0,0.0,0.0,0.0
MATICBUSD,21.0,0,0.0,0.0,0.0,0.0
WOOBUSD,22.0,0,0.0,0.0,0.0,0.0
TBUSD,23.0,0,0.0,0.0,0.0,0.0
CFXBUSD,24.0,0,0.0,0.0,0.0,0.0
ANTBUSD,25.0,0,0.0,0.0,0.0,0.0
VOXELBUSD,26.0,0,0.0,0.0,0.0,0.0
CHESSBUSD,28.0,0,0.0,0.0,0.0,0.0
IMXBUSD,29.0,0,0.0,0.0,0.0,0.0
AUTOBUSD,30.0,0,0.0,0.0,0.0,0.0
DOGEBUSD,1000.0,1,1715.0,0.0891,0.08167,-8.34
IQBUSD,1000.0,1,23878.0,0.00582,0.00631,8.42
