Currency,Completed,Date
AGIXBTC,1,2023-02-28
CFXBTC,0,2023-02-28
FETBTC,0,2023-02-28
SSVBTC,0,2023-02-28
ACHBTC,0,2023-02-28
STXBTC,0,2023-02-28
RIFBTC,0,2023-02-28
RNDRBTC,0,2023-02-28
MDTBTC,0,2023-02-28
OPBTC,0,2023-02-28
QLCBTC,0,2023-02-28
FISBTC,0,2023-02-28
DODOBTC,0,2023-02-28
IRISBTC,0,2023-02-28
TRUBTC,0,2023-02-28
PHBBTC,0,2023-02-28
MULTIBTC,0,2023-02-28
OCEANBTC,0,2023-02-28
HIGHBTC,0,2023-02-28
INJBTC,0,2023-02-28
LDOBTC,0,2023-02-28
AGLDBTC,0,2023-02-28
DUSKBTC,0,2023-02-28
ELFBTC,0,2023-02-28
CTXCBTC,0,2023-02-28
FXSBTC,0,2023-02-28
ASTRBTC,0,2023-02-28
DYDXBTC,0,2023-02-28
GRTBTC,0,2023-02-28
MOBBTC,0,2023-02-28
