coinPair,fastEMA,slowEMA,timeFrame,returnPerc,BuyHoldReturnPerc,BacktestStartDate
1INCHBUSD,65,70,1d,-0.1,-74.56,2020-12-25 00:00:00
1INCHBUSD,45,55,1h,198.86,-77.5,2020-12-25 05:00:00
1INCHBUSD,10,140,4h,48.48,-77.82,2020-12-25 04:00:00
AAVEBUSD,95,195,1d,-0.1,78.16,2020-10-15 00:00:00
AAVEBUSD,20,90,1h,1334.31,61.13,2020-10-15 03:00:00
AAVEBUSD,10,95,4h,604.54,61.13,2020-10-15 00:00:00
ACHBUSD,95,195,1d,45.26,-80.62,2022-01-10 00:00:00
ACHBUSD,15,55,1h,16.6,-79.8,2022-01-10 10:00:00
ACHBUSD,5,10,4h,70.34,-78.17,2022-01-10 08:00:00
ADABUSD,5,65,1d,4627.27,132.55,2018-07-17 00:00:00
ADABUSD,45,190,1h,7380.19,153.85,2018-07-16 23:00:00
ADABUSD,95,175,4h,6616.47,156.06,2018-07-17 00:00:00
ADXBUSD,95,195,1d,-0.1,-35.03,2021-07-23 00:00:00
ADXBUSD,80,170,1h,6.66,-36.41,2021-07-23 10:00:00
ADXBUSD,90,160,4h,48.34,-34.74,2021-07-23 08:00:00
AERGOBUSD,95,195,1d,36.43,191.55,2020-10-21 00:00:00
AERGOBUSD,45,75,1h,338.68,191.39,2020-10-21 10:00:00
AERGOBUSD,10,25,4h,188.89,192.58,2020-10-21 08:00:00
AGIXBTC,85,110,1d,683.8,187.7,2021-06-02 00:00:00
AGIXBTC,10,15,1h,762.19,173.04,2021-06-02 08:00:00
AGIXBTC,5,15,4h,708.26,174.08,2021-06-02 08:00:00
AGLDBUSD,95,195,1d,-0.1,-92.83,2021-10-05 00:00:00
AGLDBUSD,10,75,1h,61.52,-91.04,2021-10-05 07:00:00
AGLDBUSD,5,55,4h,19.62,-91.04,2021-10-05 04:00:00
AKROBUSD,55,65,1d,-3.8,-64.17,2020-11-02 00:00:00
AKROBUSD,45,60,1h,113.02,-65.92,2020-11-02 07:00:00
AKROBUSD,95,180,4h,214.55,-65.92,2020-11-02 04:00:00
ALCXBUSD,95,195,1d,-0.1,-94.5,2021-11-30 00:00:00
ALCXBUSD,5,115,1h,-1.1,-94.63,2021-11-30 06:00:00
ALCXBUSD,50,125,4h,14.05,-94.57,2021-11-30 04:00:00
ALICEBUSD,95,145,1d,3.58,-91.08,2021-03-15 00:00:00
ALICEBUSD,15,155,1h,106.86,-89.99,2021-03-15 06:00:00
ALICEBUSD,10,90,4h,99.78,-91.71,2021-03-15 04:00:00
ALPACABUSD,95,195,1d,0.87,-78.47,2021-08-11 00:00:00
ALPACABUSD,95,190,1h,-34.37,-79.56,2021-08-11 08:00:00
ALPACABUSD,55,85,4h,5.08,-78.09,2021-08-11 08:00:00
ALPHABUSD,95,195,1d,-0.1,122.7,2020-10-10 00:00:00
ALPHABUSD,85,90,1h,6767.64,77.38,2020-10-10 05:00:00
ALPHABUSD,20,105,4h,1259.93,111.05,2020-10-10 04:00:00
ALPINEBUSD,95,195,1d,-16.87,-49.35,2022-02-21 00:00:00
ALPINEBUSD,55,110,1h,432.98,-44.73,2022-02-21 12:00:00
ALPINEBUSD,5,50,4h,66.55,-59.59,2022-02-21 12:00:00
