,Coinpair,Close,Volume,50DSMA,200DSMA,MarketPhase
0,ANTBUSD,2.207,1671062399999.0,1.9533600000000002,1.793665,bullish
1,BALBUSD,6.123,1671062399999.0,6.027620000000001,5.8687450000000005,bullish
2,BANDBUSD,1.936,1671062399999.0,1.89532,1.522585,bullish
3,DFBUSD,0.0452,1671062399999.0,0.04368799999999999,0.039522,bullish
4,LTCBUSD,77.58,1671062399999.0,67.64200000000001,58.7491,bullish
5,SFPBUSD,0.4701,1671062399999.0,0.46228,0.39427549999999995,bullish
6,TRIBEBUSD,0.2447,1671062399999.0,0.221572,0.202093,bullish
7,TWTBUSD,2.2432,1671062399999.0,1.8562979999999998,1.142445,bullish
8,UFTBUSD,0.3348,1671062399999.0,0.293742,0.2533315,bullish
9,ASTRBUSD,0.0426,1671062399999.0,0.039904,0.042426000000000005,accumulation
10,CTXCBUSD,0.1519,1671062399999.0,0.102812,0.1191155,accumulation
11,DASHBUSD,48.39,1671062399999.0,41.217600000000004,45.383050000000004,accumulation
12,DEGOBUSD,1.81,1671062399999.0,1.6996200000000001,1.7577600000000002,accumulation
13,FETBUSD,0.0911,1671062399999.0,0.07374,0.087424,accumulation
14,FXSBUSD,5.647,1671062399999.0,5.406359999999999,5.6336450000000005,accumulation
15,IQBUSD,0.00551,1671062399999.0,0.0049166,0.00510515,accumulation
16,NULSBUSD,0.2093,1671062399999.0,0.19939400000000002,0.2053185,accumulation
17,PAXGBUSD,1810.0,1671062399999.0,1731.46,1738.105,accumulation
18,TKOBUSD,0.318,1671062399999.0,0.26118,0.27887,accumulation
19,TVKBUSD,0.0406,1671062399999.0,0.03212,0.0394825,accumulation
20,XMRBUSD,151.9,1671062399999.0,141.418,146.0655,accumulation
