,Coinpair,Close,50DSMA,200DSMA,MarketPhase
0,BUSDUSDT,1.0004,1.000282,1.0002330000000001,bullish
1,CTXCUSDT,0.1577,0.128718,0.122379,bullish
2,LTCUSDT,74.27,71.056,59.768950000000004,bullish
3,PAXGUSDT,1830.0,1784.34,1734.11,bullish
4,RLCUSDT,1.166,1.12364,1.1020999999999999,bullish
5,ELFUSDT,0.1603,0.13428800000000002,0.14608549999999998,accumulation
6,FETUSDT,0.0981,0.08000600000000001,0.083012,accumulation
7,MULTIUSDT,4.43,3.948,4.26875,accumulation
8,OCEANUSDT,0.1688,0.14918,0.16814150000000003,accumulation
9,XMRUSDT,147.9,142.46400000000003,143.668,accumulation
